ScientistName,preparation,date,components,login,password
Нецкина Елизавета Василевна,Вальтрекс,0901-02-23,"Chemical_27 Chemical_12 Chemical_63
",Нецкина_ЕВ,asdfQWEjg4
Тахтауров Эдуард Данилович,Норматен,1717-01-20,"Chemical_92 Chemical_81 Chemical_32
",Тахтауров_ЭД,asdfQWEGJ3
Новеньких Валерий Борисович,Азитромицин,1107-06-25,"Chemical_98 Chemical_81 Chemical_70
",Новеньких_ВБ,asdfQWEgv6
Веденисов Василий Юриевич,Бетаметазон,1760-03-11,"Chemical_1 Chemical_79 Chemical_23
",Веденисов_ВЮ,asdfQWEF53
Назарбаев Геннадий Вадимович,Ёжик,1739-07-09,"Chemical_68 Chemical_66 Chemical_31
",Назарбаев_ГВ,asdfQWEm4J
Верескина Ольга Сергеевна,Рибавирин,1439-04-28,"Chemical_2 Chemical_38 Chemical_70
",Верескина_ОС,asdfQWEh06
Мойкина Инна Василевна,Рибавирин,1790-07-15,"Chemical_53 Chemical_73 Chemical_83
",Мойкина_ИВ,asdfQWEkg3
Каледенков Вячеслав Денисович,Миртазапин,1901-05-08,"Chemical_25 Chemical_60 Chemical_37
",Каледенков_ВД,asdfQWEh8n
Нечахин Альберт Николаевич,Азитромицин,1254-03-20,"Chemical_16 Chemical_15 Chemical_70
",Нечахин_АН,asdfQWEHv9
Томасов Владислав Максимович,Женьшень,1162-07-26,"Chemical_69 Chemical_54 Chemical_57
",Томасов_ВМ,asdfQWEmK7
Плетцова Виолетта Богдановна,Дикарбазин,0999-04-28,"Chemical_52 Chemical_83 Chemical_21
",Плетцова_ВБ,asdfQWEHj1
Гаврилкин Вадим Василиевич,Уоллтапс,1135-11-22,"Chemical_91 Chemical_96 Chemical_8
",Гаврилкин_ВВ,asdfQWEF2L
Милетина Александра Аркадьевна,Амитриптилин,1422-01-28,"Chemical_61 Chemical_42 Chemical_31
",Милетина_АА,asdfQWEm0h
Добранчева Зинаида Михайловна,Оксикодон,1518-01-22,"Chemical_61 Chemical_77 Chemical_95
",Добранчева_ЗМ,asdfQWEj3G
Зиганова Зинаида Кирилловна,Ранитидин,1018-11-14,"Chemical_79 Chemical_78 Chemical_77
",Зиганова_ЗК,asdfQWEgc3
Упорников Михаил Евгеньевич,Ибупрофен,1592-06-21,"Chemical_77 Chemical_96 Chemical_19
",Упорников_МЕ,asdfQWEjh2
Веснянкина Марина Эдуардовна,Вальтрекс,0928-09-27,"Chemical_38 Chemical_79 Chemical_54
",Веснянкина_МЭ,asdfQWEGv2
Снитникова Маргарита Богдановна,Итрафунгол,1844-10-11,"Chemical_13 Chemical_50 Chemical_12
",Снитникова_МБ,asdfQWEHK2
Закакуев Максим Фёдорович,Нимулид,1236-09-19,"Chemical_64 Chemical_51 Chemical_51
",Закакуев_МФ,asdfQWEG86
Помадкова Тамара Егоровна,Оланзапин,1213-01-09,"Chemical_33 Chemical_8 Chemical_80
",Помадкова_ТЕ,asdfQWEm3F
Чубанова Алёна Романовна,Мелоксикам,1072-11-13,"Chemical_76 Chemical_38 Chemical_23
",Чубанова_АР,asdfQWEh8F
Реутский Федор Юриевич,Бромгексин,1584-03-18,"Chemical_79 Chemical_7 Chemical_92
",Реутский_ФЮ,asdfQWEg8b
Пурювкин Руслан Георгиевич,Пентоксифиллин,1688-01-23,"Chemical_3 Chemical_19 Chemical_37
",Пурювкин_РГ,asdfQWEjK7
Помазенцев Яков Тимофеевич,Сетирозин,1941-02-23,"Chemical_81 Chemical_34 Chemical_65
",Помазенцев_ЯТ,asdfQWEH6K
Девушкина Жанна Андреевна,Золедроновая кислота,1379-11-10,"Chemical_23 Chemical_51 Chemical_9
",Девушкина_ЖА,asdfQWEm32
Яшункина Дарья Сергеевна,Женьшень,1669-10-15,"Chemical_30 Chemical_22 Chemical_91
",Яшункина_ДС,asdfQWEm5G
Шалапугина Юлия Дмитриевна,Дуодарт,1109-04-27,"Chemical_3 Chemical_17 Chemical_20
",Шалапугина_ЮД,asdfQWEJh7
Пепинова Ева Ивановна,Ацетилсалициловая кислота,0963-02-26,"Chemical_5 Chemical_62 Chemical_58
",Пепинова_ЕИ,asdfQWEG8m
Юделева Валентина Игоревна,Бромгексин,1328-10-18,"Chemical_52 Chemical_65 Chemical_73
",Юделева_ВИ,asdfQWEF9h
Монастыров Иван Юриевич,Ибупрофен,1241-12-25,"Chemical_30 Chemical_52 Chemical_21
",Монастыров_ИЮ,asdfQWEmv8
Досадина Зинаида Игоревна,Росувастатин,2005-09-16,"Chemical_4 Chemical_30 Chemical_45
",Досадина_ЗИ,asdfQWEmj7
Заяшникова Оксана Борисовна,Диклофенак,1869-08-12,"Chemical_96 Chemical_73 Chemical_84
",Заяшникова_ОБ,asdfQWEm4v
Непогодина Людмила Петровна,Витамин С,0900-02-24,"Chemical_80 Chemical_34 Chemical_87
",Непогодина_ЛП,asdfQWEh0H
Бежджонов Антон Евгеньевич,Амитриптилин,1528-09-28,"Chemical_37 Chemical_70 Chemical_13
",Бежджонов_АЕ,asdfQWEhc9
Могеев Станислав Алексиевич,Агонал,1106-11-23,"Chemical_34 Chemical_87 Chemical_23
",Могеев_СА,asdfQWEj1g
Нарымова Дарья Валерьевна,Жасмин,1343-05-05,"Chemical_68 Chemical_55 Chemical_6
",Нарымова_ДВ,asdfQWEH8c
Справников Игорь Адамович,Дуодарт,1091-06-24,"Chemical_11 Chemical_85 Chemical_63
",Справников_ИА,asdfQWEG3H
Кормщиков Евгений Юриевич,Левофлоксацин,1911-06-28,"Chemical_57 Chemical_29 Chemical_63
",Кормщиков_ЕЮ,asdfQWEGk5
Букатов Дмитрий Алексиевич,Бисакодил,1643-09-23,"Chemical_53 Chemical_30 Chemical_58
",Букатов_ДА,asdfQWEm6v
Абримов Павел Олегович,Амоксициллин,0938-12-20,"Chemical_88 Chemical_13 Chemical_39
",Абримов_ПО,asdfQWEm2n
Падолкина Надежда Ивановна,Ингавирин,1792-05-08,"Chemical_80 Chemical_13 Chemical_85
",Падолкина_НИ,asdfQWEj9v
Кавардин Вячеслав Тимофеевич,Аллопуринол,1388-04-06,"Chemical_7 Chemical_55 Chemical_33
",Кавардин_ВТ,asdfQWEG1b
Кожаурова Жанна Ивановна,Левофлоксацин,1311-10-06,"Chemical_10 Chemical_5 Chemical_41
",Кожаурова_ЖИ,asdfQWEm8c
Балакин Пётр Антонович,Спазмалгон,1326-09-12,"Chemical_42 Chemical_30 Chemical_68
",Балакин_ПА,asdfQWEk34
Киржаков Геннадий Максимович,Золедроновая кислота,1478-03-20,"Chemical_51 Chemical_8 Chemical_26
",Киржаков_ГМ,asdfQWEg3H
Давличаров Павел Игоревич,Бензоилпероксид,1184-02-17,"Chemical_32 Chemical_73 Chemical_98
",Давличаров_ПИ,asdfQWEg7G
Камашкин Артём Вадимович,Итрафунгол,1114-02-27,"Chemical_98 Chemical_32 Chemical_16
",Камашкин_АВ,asdfQWEF2j
Постатская Полина Алексеевна,Бензоилпероксид,0972-06-28,"Chemical_12 Chemical_76 Chemical_81
",Постатская_ПА,asdfQWEgH3
Максимцев Станислав Николаевич,Зинорам,1045-01-13,"Chemical_78 Chemical_13 Chemical_54
",Максимцев_СН,asdfQWEGm2
Петюшина Светлана Эдуардовна,Агонал,1506-10-21,"Chemical_38 Chemical_53 Chemical_58
",Петюшина_СЭ,asdfQWEF04
Петрина Наталья Аркадьевна,Лозартан,1648-04-28,"Chemical_3 Chemical_70 Chemical_35
",Петрина_НА,asdfQWEh93
Крутцов Станислав Юриевич,Росувастатин,1256-01-26,"Chemical_8 Chemical_39 Chemical_82
",Крутцов_СЮ,asdfQWEmH3
Ананчева Вероника Ивановна,Гидрохлоротиазид,1060-03-03,"Chemical_98 Chemical_57 Chemical_56
",Ананчева_ВИ,asdfQWEhK4
Цыцарцев Валерий Василиевич,Нитросорбид,1063-08-08,"Chemical_21 Chemical_60 Chemical_8
",Цыцарцев_ВВ,asdfQWEkb3
Зазнобкина Ирина Богдановна,Золаир,1917-10-07,"Chemical_58 Chemical_65 Chemical_98
",Зазнобкина_ИБ,asdfQWEj85
Обризова Алена Олеговна,Антациды,1712-06-24,"Chemical_58 Chemical_35 Chemical_10
",Обризова_АО,asdfQWEH7n
Салянкин Владислав Фёдорович,Небиволол,1420-07-13,"Chemical_51 Chemical_84 Chemical_32
",Салянкин_ВФ,asdfQWEj51
Чернедова Алиса Аркадьевна,Оланзапин,1869-08-16,"Chemical_21 Chemical_17 Chemical_57
",Чернедова_АА,asdfQWEJh3
Токарев Руслан Алексеевич,Виагра,1591-05-12,"Chemical_90 Chemical_13 Chemical_52
",Токарев_РА,asdfQWEH86
Миридинов Денис Денисович,Зылорик,1166-03-13,"Chemical_17 Chemical_42 Chemical_97
",Миридинов_ДД,asdfQWEG8h
Копелькина Елизавета Алексеевна,Агонал,1181-05-22,"Chemical_4 Chemical_58 Chemical_52
",Копелькина_ЕА,asdfQWEF0c
Будяков Михаил Петрович,Женьшень,1989-11-10,"Chemical_24 Chemical_17 Chemical_83
",Будяков_МП,asdfQWEk27
Мавлекиева Дарья Валерьевна,Зинорам,1766-05-02,"Chemical_15 Chemical_8 Chemical_59
",Мавлекиева_ДВ,asdfQWEj6n
Бальнова Светлана Богдановна,Венолайфт,1392-08-15,"Chemical_27 Chemical_76 Chemical_28
",Бальнова_СБ,asdfQWEg1J
Муруев Никита Николаевич,Спазмалгон,1497-04-10,"Chemical_81 Chemical_85 Chemical_82
",Муруев_НН,asdfQWEF5L
Танкуйлин Аркадий Кириллович,Железа препараты,0939-06-15,"Chemical_58 Chemical_95 Chemical_70
",Танкуйлин_АК,asdfQWEFJ2
Леплинский Владислав Юриевич,Кетопрофен,1907-02-06,"Chemical_63 Chemical_97 Chemical_69
",Леплинский_ВЮ,asdfQWEg3h
Жегланова Алёна Ивановна,Колчицин,1726-04-28,"Chemical_51 Chemical_50 Chemical_64
",Жегланова_АИ,asdfQWEj69
Шелдукова Алина Викторовна,Метформин,1908-06-19,"Chemical_28 Chemical_22 Chemical_60
",Шелдукова_АВ,asdfQWEF3L
Рапиева Зинаида Никитична,Бетаин,1376-12-13,"Chemical_48 Chemical_5 Chemical_53
",Рапиева_ЗН,asdfQWEg4G
Гермогенов Иван Тимофеевич,Амоксиклав,1936-10-10,"Chemical_97 Chemical_22 Chemical_38
",Гермогенов_ИТ,asdfQWEHn9
Холсин Константин Сергеевич,Кетопрофен,1148-04-05,"Chemical_32 Chemical_86 Chemical_37
",Холсин_КС,asdfQWEF4K
Вакунов Александр Викторович,Метопролол,0914-04-03,"Chemical_58 Chemical_2 Chemical_87
",Вакунов_АВ,asdfQWEmF3
Подласова Вера Андреевна,Рибавирин,1034-12-01,"Chemical_80 Chemical_33 Chemical_46
",Подласова_ВА,asdfQWEG67
Городцов Игорь Валериевич,Симвастатин,1468-06-03,"Chemical_45 Chemical_49 Chemical_18
",Городцов_ИВ,asdfQWEm80
Алексакова Карина Дмитриевна,Амоксиклав,1996-06-15,"Chemical_18 Chemical_4 Chemical_48
",Алексакова_КД,asdfQWEh7k
Эссина Полина Ивановна,Мелатонин,1429-08-25,"Chemical_20 Chemical_44 Chemical_84
",Эссина_ПИ,asdfQWEGm7
Юртайкина Зинаида Ивановна,Уоллтапс,1107-09-26,"Chemical_14 Chemical_47 Chemical_64
",Юртайкина_ЗИ,asdfQWEH8b
Варваркина Софья Максимовна,Метопролол,1946-05-17,"Chemical_64 Chemical_45 Chemical_83
",Варваркина_СМ,asdfQWEk5L
Зябкина Валерия Михайловна,Бетаин,1801-03-24,"Chemical_21 Chemical_90 Chemical_87
",Зябкина_ВМ,asdfQWEgj7
Шерекина Екатерина Николаевна,Симвастатин,1005-05-02,"Chemical_44 Chemical_1 Chemical_79
",Шерекина_ЕН,asdfQWEHn0
Халипский Евгений Алексеевич,Пилипен,1068-05-23,"Chemical_62 Chemical_13 Chemical_92
",Халипский_ЕА,asdfQWEj8k
Голбина Галина Егоровна,Лоразепам,1321-06-08,"Chemical_43 Chemical_89 Chemical_2
",Голбина_ГЕ,asdfQWEG2F
Кузубов Роман Кириллович,Триптаны,1167-06-06,"Chemical_36 Chemical_64 Chemical_98
",Кузубов_РК,asdfQWEFL7
Эзенкина Ксения Ивановна,Ретардин,1599-01-21,"Chemical_90 Chemical_92 Chemical_67
",Эзенкина_КИ,asdfQWEFH8
Киричуков Никита Игоревич,Бетаин,1498-08-25,"Chemical_97 Chemical_15 Chemical_53
",Киричуков_НИ,asdfQWEhg5
Агафеева Тамара Олеговна,Клопидогрел,0932-08-16,"Chemical_17 Chemical_72 Chemical_22
",Агафеева_ТО,asdfQWEh71
Ханевичев Геннадий Викторович,Ингавирин,1445-06-15,"Chemical_100 Chemical_88 Chemical_31
",Ханевичев_ГВ,asdfQWEHh2
Мицина Светлана Кирилловна,Норматен,1032-04-04,"Chemical_44 Chemical_16 Chemical_60
",Мицина_СК,asdfQWEH52
Атарщиков Артём Викторович,Валидол,0935-09-01,"Chemical_48 Chemical_25 Chemical_54
",Атарщиков_АВ,asdfQWEj60
Эйдикова Ирина Егоровна,Ранитидин,1304-10-20,"Chemical_22 Chemical_48 Chemical_13
",Эйдикова_ИЕ,asdfQWEg7H
Каплина Валентина Романовна,Алпразолам,1380-12-06,"Chemical_73 Chemical_48 Chemical_15
",Каплина_ВР,asdfQWEG42
Осицимский Алексей Юриевич,Норматен,1026-12-09,"Chemical_81 Chemical_80 Chemical_35
",Осицимский_АЮ,asdfQWEh8b
Плантова Катерина Николаевна,Урсофальк,1849-12-27,"Chemical_19 Chemical_60 Chemical_28
",Плантова_КН,asdfQWEmn3
Селемнева Мария Вадимовна,Омепразол,1776-10-08,"Chemical_67 Chemical_94 Chemical_77
",Селемнева_МВ,asdfQWEhk2
Сымчева Зинаида Богдановна,Бисакодил,1765-06-26,"Chemical_53 Chemical_58 Chemical_28
",Сымчева_ЗБ,asdfQWEG9c
Стретова Раиса Яковлевна,Дикарбазин,1694-05-06,"Chemical_82 Chemical_95 Chemical_53
",Стретова_РЯ,asdfQWEmL8
Царитова Галина Олеговна,Омега-3 кислоты,1962-05-03,"Chemical_97 Chemical_61 Chemical_81
",Царитова_ГО,asdfQWEm3J
Дрыкина Кристина Василевна,Метопролол,1152-05-06,"Chemical_79 Chemical_60 Chemical_18
",Дрыкина_КВ,asdfQWEHh8
Спорягина Анна Кирилловна,Антациды,2009-03-04,"Chemical_16 Chemical_19 Chemical_14
",Спорягина_АК,asdfQWEkm8
Цепикин Константин Евгеньевич,Виалар,1502-09-18,"Chemical_1 Chemical_36 Chemical_54
",Цепикин_КЕ,asdfQWEmn6
Кордашин Пётр Данилович,Ингавирин,1598-01-05,"Chemical_31 Chemical_65 Chemical_25
",Кордашин_ПД,asdfQWEh0k
Байдильдин Станислав Вадимович,Гропирон,1224-02-12,"Chemical_17 Chemical_6 Chemical_88
",Байдильдин_СВ,asdfQWEmv1
Ябковская Елена Яковлевна,Антациды,1504-12-24,"Chemical_52 Chemical_27 Chemical_29
",Ябковская_ЕЯ,asdfQWEgv5
Ионкин Владимир Иванович,Ретардин,1164-04-22,"Chemical_71 Chemical_3 Chemical_11
",Ионкин_ВИ,asdfQWEHJ6
Пониматкин Артём Яковлевич,Бромгексин,0963-10-18,"Chemical_11 Chemical_1 Chemical_69
",Пониматкин_АЯ,asdfQWEk95
Охочинская Жанна Валерьевна,Триптаны,1643-10-17,"Chemical_91 Chemical_3 Chemical_32
",Охочинская_ЖВ,asdfQWEgk7
Размыкова Алина Кирилловна,Тианептин,1045-06-04,"Chemical_86 Chemical_37 Chemical_69
",Размыкова_АК,asdfQWEG25
Аврамов Руслан Алексиевич,Кандесартан,1308-02-21,"Chemical_61 Chemical_97 Chemical_31
",Аврамов_РА,asdfQWEk0m
Семовских Лиза Викторовна,Пропанолол,1256-04-10,"Chemical_75 Chemical_31 Chemical_8
",Семовских_ЛВ,asdfQWEhL5
Абалмазов Валентин Петрович,Пропанолол,2020-05-02,"Chemical_4 Chemical_90 Chemical_93
",Абалмазов_ВП,asdfQWEg8v
Аскаров Илья Кириллович,Ниссан,1851-02-04,"Chemical_100 Chemical_39 Chemical_76
",Аскаров_ИК,asdfQWEm2g
Свирстина Жанна Богдановна,Допамин,1523-04-21,"Chemical_89 Chemical_40 Chemical_27
",Свирстина_ЖБ,asdfQWEm3k
Копытенков Олег Денисович,Золекс,1373-11-03,"Chemical_25 Chemical_35 Chemical_39
",Копытенков_ОД,asdfQWEjG8
Аполонин Максим Михаилович,Лоразепам,1519-07-06,"Chemical_83 Chemical_62 Chemical_76
",Аполонин_ММ,asdfQWEm8J
Добрышкин Аркадий Валериевич,Золаир,1300-11-25,"Chemical_32 Chemical_43 Chemical_27
",Добрышкин_АВ,asdfQWEh08
Хромачев Валентин Василиевич,Диклофенак,1682-02-07,"Chemical_58 Chemical_12 Chemical_64
",Хромачев_ВВ,asdfQWEH08
Панчекин Виталий Аркадиевич,Тикалиптин,1896-12-08,"Chemical_33 Chemical_22 Chemical_94
",Панчекин_ВА,asdfQWEGh1
Саслина Тамара Максимовна,Венолайфт,1666-10-08,"Chemical_99 Chemical_22 Chemical_31
",Саслина_ТМ,asdfQWEJk4
Буглина Инна Михайловна,Ацетилсалициловая кислота,1278-10-17,"Chemical_66 Chemical_100 Chemical_62
",Буглина_ИМ,asdfQWEmH0
Якутенкова Жанна Валерьевна,Сертралин,1988-08-19,"Chemical_64 Chemical_69 Chemical_10
",Якутенкова_ЖВ,asdfQWEFb7
Сафошин Георгий Василиевич,Колчицин,1367-03-17,"Chemical_9 Chemical_17 Chemical_28
",Сафошин_ГВ,asdfQWEh7c
Каяцкая Ольга Борисовна,Индометацин,1440-10-12,"Chemical_21 Chemical_60 Chemical_21
",Каяцкая_ОБ,asdfQWEG6F
Карапозов Константин Василиевич,Левотироксин,1918-06-07,"Chemical_55 Chemical_29 Chemical_4
",Карапозов_КВ,asdfQWEm05
Рустямова Алина Василевна,Итрафунгол,1575-05-07,"Chemical_80 Chemical_30 Chemical_57
",Рустямова_АВ,asdfQWEGc6
Жерденков Илья Денисович,Колчицин,1401-09-15,"Chemical_95 Chemical_49 Chemical_85
",Жерденков_ИД,asdfQWEk8L
Донышева Людмила Кирилловна,Золаир,1972-06-26,"Chemical_19 Chemical_69 Chemical_82
",Донышева_ЛК,asdfQWEh0m
Цыбышев Николай Антонович,Бромгексин,1724-08-07,"Chemical_36 Chemical_40 Chemical_36
",Цыбышев_НА,asdfQWEk5J
Севастокин Виктор Романович,Мидокалм,1279-04-15,"Chemical_2 Chemical_64 Chemical_2
",Севастокин_ВР,asdfQWEj7c
Баранихина Алла Евгеньевна,Иммунивит,1629-02-22,"Chemical_81 Chemical_100 Chemical_80
",Баранихина_АЕ,asdfQWEjb8
Тараборина Марина Андреевна,Тианептин,1664-10-19,"Chemical_63 Chemical_54 Chemical_70
",Тараборина_МА,asdfQWEJk1
Шкутин Юрий Алексиевич,Рибавирин,1088-02-23,"Chemical_49 Chemical_67 Chemical_24
",Шкутин_ЮА,asdfQWEkc0
Пушменкова Наталья Богдановна,Сетирозин,1622-10-23,"Chemical_68 Chemical_71 Chemical_90
",Пушменкова_НБ,asdfQWEg12
Малшенков Дмитрий Кириллович,Женьшень,1378-06-10,"Chemical_17 Chemical_6 Chemical_59
",Малшенков_ДК,asdfQWEG0j
Валкин Денис Олегович,Парацетамол,1129-04-09,"Chemical_93 Chemical_33 Chemical_39
",Валкин_ДО,asdfQWEkg5
Граннина Алиса Андреевна,Ранитидин,1329-04-25,"Chemical_21 Chemical_89 Chemical_59
",Граннина_АА,asdfQWEmh4
Перемитина Алиса Борисовна,Амлодипин,1475-10-20,"Chemical_30 Chemical_16 Chemical_65
",Перемитина_АБ,asdfQWEg15
Масленцова Алина Вадимовна,Левофлоксацин,1367-11-21,"Chemical_15 Chemical_43 Chemical_83
",Масленцова_АВ,asdfQWEh6m
Шалчков Денис Викторович,Рамиприл,1706-06-08,"Chemical_58 Chemical_70 Chemical_1
",Шалчков_ДВ,asdfQWEGg6
Проселкова Зинаида Максимовна,Рибавирин,1032-10-19,"Chemical_46 Chemical_99 Chemical_73
",Проселкова_ЗМ,asdfQWEG6K
Большанин Павел Андреевич,Кетопрофен,1526-06-17,"Chemical_60 Chemical_53 Chemical_35
",Большанин_ПА,asdfQWEFc1
Капцева Юлия Федоровна,Виалар,1902-07-26,"Chemical_17 Chemical_89 Chemical_14
",Капцева_ЮФ,asdfQWEH9L
Тюшагин Аркадий Борисович,Уоллтапс,1530-08-11,"Chemical_79 Chemical_55 Chemical_23
",Тюшагин_АБ,asdfQWEm04
Сусленков Игорь Денисович,Мезим,1214-05-15,"Chemical_95 Chemical_79 Chemical_44
",Сусленков_ИД,asdfQWEj31
Печуркина Жанна Борисовна,Виагра,1950-09-19,"Chemical_40 Chemical_38 Chemical_48
",Печуркина_ЖБ,asdfQWEGg8
Крахоткина Софья Олеговна,Амлодипин,1381-04-02,"Chemical_14 Chemical_7 Chemical_65
",Крахоткина_СО,asdfQWEFn8
Огулова Виктория Борисовна,Глюкозамин,1779-08-09,"Chemical_79 Chemical_14 Chemical_40
",Огулова_ВБ,asdfQWEgJ8
Евиланова Раиса Федоровна,Габапентин,1823-07-15,"Chemical_80 Chemical_75 Chemical_21
",Евиланова_РФ,asdfQWEg91
Крудакова Оксана Яковлевна,Ксарелто,1609-08-10,"Chemical_88 Chemical_28 Chemical_59
",Крудакова_ОЯ,asdfQWEHj7
Осконов Роман Андреевич,Амоксиклав,1957-06-01,"Chemical_6 Chemical_45 Chemical_30
",Осконов_РА,asdfQWEH5F
Находнов Пётр Михаилович,Евалар солгар мультивитамини,1315-02-12,"Chemical_1 Chemical_62 Chemical_1
",Находнов_ПМ,asdfQWEm8b
Дрычкова Кира Эдуардовна,Гропирон,1463-09-20,"Chemical_100 Chemical_6 Chemical_72
",Дрычкова_КЭ,asdfQWEH54
Полатов Павел Алексеевич,Рамиприл,1792-07-25,"Chemical_51 Chemical_6 Chemical_61
",Полатов_ПА,asdfQWEH4j
Бострикова Софья Романовна,Оланзапин,1080-12-09,"Chemical_94 Chemical_40 Chemical_35
",Бострикова_СР,asdfQWEmK5
Джоев Вадим Юриевич,Норматен,1896-08-19,"Chemical_58 Chemical_85 Chemical_95
",Джоев_ВЮ,asdfQWEgk0
Актанаев Игорь Валериевич,Бисопролол,0992-01-04,"Chemical_2 Chemical_11 Chemical_72
",Актанаев_ИВ,asdfQWEHk6
Чужакова Мария Дмитриевна,Метформин,1878-03-01,"Chemical_20 Chemical_6 Chemical_8
",Чужакова_МД,asdfQWEF6g
Гиричева Полина Борисовна,Метопролол,1599-09-03,"Chemical_9 Chemical_62 Chemical_84
",Гиричева_ПБ,asdfQWEgh6
Гродобоев Константин Михаилович,Оксикодон,2021-07-28,"Chemical_64 Chemical_33 Chemical_76
",Гродобоев_КМ,asdfQWEm1F
Сапетина Марина Дмитриевна,Спазмалгон,1814-12-23,"Chemical_39 Chemical_84 Chemical_74
",Сапетина_МД,asdfQWEg0G
Писеева Катерина Богдановна,Амоксиклав,1090-11-18,"Chemical_18 Chemical_16 Chemical_47
",Писеева_КБ,asdfQWEFj2
Загладин Илья Тимофеевич,Уоллтапс,1441-04-08,"Chemical_8 Chemical_75 Chemical_97
",Загладин_ИТ,asdfQWEj1h
Гридаева Елена Олеговна,Кандесартан,1568-03-06,"Chemical_39 Chemical_9 Chemical_45
",Гридаева_ЕО,asdfQWEg8j
Чармосова Наталия Алексеевна,Сетирозин,1847-05-17,"Chemical_88 Chemical_84 Chemical_5
",Чармосова_НА,asdfQWEg4v
Бешкуров Вячеслав Данилович,Амлодипин,1456-11-04,"Chemical_60 Chemical_59 Chemical_39
",Бешкуров_ВД,asdfQWEF2m
Голубкова Ирина Игоревна,Аллопуринол,0983-02-03,"Chemical_17 Chemical_4 Chemical_91
",Голубкова_ИИ,asdfQWEH59
Атрохин Павел Юрьевич,Диклофенак,1584-04-11,"Chemical_94 Chemical_41 Chemical_3
",Атрохин_ПЮ,asdfQWEG3j
Бригина Надежда Федоровна,Ретардин,0908-05-02,"Chemical_92 Chemical_37 Chemical_19
",Бригина_НФ,asdfQWEj0v
Сернецкая Людмила Валерьевна,Бромгексин,1691-01-16,"Chemical_40 Chemical_90 Chemical_12
",Сернецкая_ЛВ,asdfQWEjh5
Лутфиева Алина Викторовна,Преднизолон,1239-11-01,"Chemical_32 Chemical_68 Chemical_74
",Лутфиева_АВ,asdfQWEk31
Листиков Валентин Михаилович,Виалар,1748-12-27,"Chemical_86 Chemical_61 Chemical_8
",Листиков_ВМ,asdfQWEk3g
Чилых Виктория Вадимовна,Бисакодил,1585-08-09,"Chemical_67 Chemical_26 Chemical_43
",Чилых_ВВ,asdfQWEk0G
Химунин Валерий Данилович,Ингавирин,1603-02-02,"Chemical_26 Chemical_26 Chemical_65
",Химунин_ВД,asdfQWEF59
Баршикова Оксана Валерьевна,Сетирозин,1412-05-23,"Chemical_85 Chemical_2 Chemical_77
",Баршикова_ОВ,asdfQWEk0g
Ушмодина Людмила Михайловна,Мидокалм,1376-02-03,"Chemical_60 Chemical_57 Chemical_23
",Ушмодина_ЛМ,asdfQWEF73
Сайдышева Софья Никитична,Глюкозамин,1890-06-02,"Chemical_45 Chemical_8 Chemical_49
",Сайдышева_СН,asdfQWEFn2
Тащенков Дмитрий Денисович,Триптаны,1059-08-28,"Chemical_84 Chemical_14 Chemical_9
",Тащенков_ДД,asdfQWEH28
Сафалова Зинаида Николаевна,Миртазапин,1662-05-17,"Chemical_73 Chemical_98 Chemical_51
",Сафалова_ЗН,asdfQWEkK3
Хажкасимов Борис Алексиевич,Живина,1032-08-14,"Chemical_54 Chemical_85 Chemical_12
",Хажкасимов_БА,asdfQWEG5g
Куконова Алена Михайловна,Небиволол,1481-10-26,"Chemical_74 Chemical_21 Chemical_38
",Куконова_АМ,asdfQWEjg3
Борменкова Дарья Василевна,Левотироксин,1643-01-13,"Chemical_74 Chemical_17 Chemical_76
",Борменкова_ДВ,asdfQWEFb6
Веденякин Аркадий Иванович,Спазмалгон,1938-09-24,"Chemical_93 Chemical_95 Chemical_18
",Веденякин_АИ,asdfQWEhc3
Абубекаров Олег Юриевич,Сертралин,1811-03-08,"Chemical_63 Chemical_17 Chemical_13
",Абубекаров_ОЮ,asdfQWEgb0
Лементуев Никита Фёдорович,Пилипен,2012-08-01,"Chemical_22 Chemical_31 Chemical_48
",Лементуев_НФ,asdfQWEH56
Кашелев Борис Данилович,Метформин,1023-04-07,"Chemical_97 Chemical_58 Chemical_29
",Кашелев_БД,asdfQWEFb0
Жилнина Алла Федоровна,Мелатонин,1851-12-10,"Chemical_2 Chemical_75 Chemical_77
",Жилнина_АФ,asdfQWEm5g
Тряпкин Михаил Денисович,Евалар солгар мультивитамини,1550-02-12,"Chemical_65 Chemical_11 Chemical_15
",Тряпкин_МД,asdfQWEhF6
Челочева София Олеговна,Нитросорбид,1780-12-07,"Chemical_11 Chemical_48 Chemical_12
",Челочева_СО,asdfQWEk5v
Бульдыгина Кира Михайловна,Рибавирин,1057-06-18,"Chemical_57 Chemical_21 Chemical_81
",Бульдыгина_КМ,asdfQWEjF6
Крумина Елизавета Михайловна,Итрафунгол,1612-01-02,"Chemical_10 Chemical_73 Chemical_83
",Крумина_ЕМ,asdfQWEh18
Астрактова Жанна Эдуардовна,Дектанол,1588-06-12,"Chemical_89 Chemical_84 Chemical_42
",Астрактова_ЖЭ,asdfQWEgG5
Дугарский Александр Алексеевич,Спазмалгон,1026-06-26,"Chemical_62 Chemical_71 Chemical_5
",Дугарский_АА,asdfQWEF5n
Яловкина Елизавета Игоревна,Тикалиптин,1278-05-05,"Chemical_23 Chemical_34 Chemical_81
",Яловкина_ЕИ,asdfQWEj9k
